公司,代號,股價 (50 Days ago),股價 (Today),漲幅
超豐,2441,59.00,64.60,9.49%
新美齊,2442,25.00,27.75,11.00%
兆勁,2444,17.30,17.95,3.76%
京元電子,2449,116.50,111.00,-4.72%
神腦,2450,32.95,34.35,4.25%
創見,2451,86.70,88.80,2.42%
凌群,2453,59.10,62.70,6.09%
聯發科,2454,"1,425.00","1,550.00",8.77%
全新,2455,159.50,146.00,-8.46%
飛宏,2457,36.30,35.75,-1.52%
義隆,2458,155.00,160.00,3.23%
敦吉,2459,70.00,70.00,0.00%
建通,2460,22.50,23.80,5.78%
光群雷,2461,19.85,20.60,3.78%
良得電,2462,25.80,27.20,5.43%
盟立,2464,81.80,80.70,-1.34%
麗臺,2465,75.20,73.50,-2.26%
冠西電,2466,73.40,87.50,19.21%
志聖,2467,197.50,181.50,-8.10%
華經,2468,25.85,38.90,50.48%
資通,2471,54.30,58.70,8.10%
立隆電,2472,82.20,89.60,9.00%
可成,2474,195.50,207.50,6.14%
鉅祥,2476,86.20,92.90,7.77%
美隆電,2477,26.70,28.50,6.74%
大毅,2478,45.75,45.10,-1.42%
敦陽科,2480,138.00,158.50,14.86%
強茂,2481,50.90,56.40,10.81%
連宇,2482,26.15,25.25,-3.44%
百容,2483,22.50,22.30,-0.89%
希華,2484,25.50,26.85,5.29%
兆赫,2485,15.10,15.40,1.99%
一詮,2486,107.50,107.00,-0.47%
漢平,2488,53.50,56.70,5.98%
瑞軒,2489,19.05,18.90,-0.79%
吉祥全,2491,14.30,13.80,-3.50%
華新科,2492,94.70,97.20,2.64%
揚博,2493,98.60,97.40,-1.22%
普安,2495,31.85,30.45,-4.40%
卓越,2496,83.70,90.10,7.65%
怡利電,2497,58.90,60.90,3.40%
宏達電,2498,49.20,46.50,-5.49%
國建,2501,23.75,25.50,7.37%
國產,2504,44.00,42.95,-2.39%
國揚,2505,22.70,21.95,-3.30%
太設,2506,11.20,11.65,4.02%
全坤建,2509,16.10,17.05,5.90%
太子,2511,10.25,10.45,1.95%
龍邦,2514,19.60,20.65,5.36%
中工,2515,9.93,11.70,17.82%
新建,2516,14.75,21.80,47.80%
冠德,2520,50.70,57.40,13.21%
京城,2524,66.60,66.20,-0.60%
宏璟,2527,37.90,37.60,-0.79%
皇普,2528,42.85,48.40,12.95%
華建,2530,38.85,42.70,9.91%
宏盛,2534,25.95,25.50,-1.73%
達欣工,2535,54.10,58.60,8.32%
宏普,2536,31.90,31.30,-1.88%
聯上發,2537,12.10,14.00,15.70%
基泰,2538,14.70,14.80,0.68%
櫻花建,2539,53.10,55.00,3.58%
愛山林,2540,89.10,95.00,6.62%
興富發,2542,43.55,45.65,4.82%
皇昌,2543,82.90,109.00,31.48%
皇翔,2545,62.80,76.80,22.29%
根基,2546,70.60,84.80,20.11%
日勝生,2547,11.05,11.20,1.36%
華固,2548,115.50,117.00,1.30%
潤弘,2597,152.00,183.00,20.39%
益航,2601,7.13,7.86,10.24%
長榮,2603,229.50,220.50,-3.92%
新興,2605,25.60,27.55,7.62%
裕民,2606,57.60,72.30,25.52%
榮運,2607,31.40,30.55,-2.71%
嘉里大榮,2608,38.90,38.50,-1.03%
陽明,2609,76.50,73.00,-4.58%
華航,2610,26.20,23.95,-8.59%
志信,2611,21.50,23.35,8.60%
中航,2612,41.00,47.50,15.85%
中櫃,2613,34.75,33.65,-3.17%
東森,2614,16.75,17.35,3.58%
萬海,2615,84.50,85.80,1.54%
山隆,2616,17.05,17.75,4.11%
台航,2617,29.95,32.60,8.85%
長榮航,2618,47.30,43.10,-8.88%
亞航,2630,38.30,36.60,-4.44%
台灣高鐵,2633,27.40,27.95,2.01%
漢翔,2634,44.30,44.30,0.00%
台驊控股,2636,80.50,80.20,-0.37%
慧洋-KY,2637,65.60,81.90,24.85%
宅配通,2642,36.25,34.30,-5.38%
長榮航太,2645,97.80,106.00,8.38%
星宇航空,2646,27.65,27.90,0.90%
萬企,2701,12.40,12.60,1.61%
華園,2702,16.30,16.75,2.76%
國賓,2704,56.50,56.30,-0.35%
六福,2705,17.60,18.25,3.69%
第一店,2706,14.50,14.75,1.72%
晶華,2707,191.00,196.50,2.88%
遠雄來,2712,26.65,25.15,-5.63%
夏都,2722,33.80,35.10,3.85%
美食-KY,2723,98.40,102.00,3.66%
王品,2727,233.00,234.00,0.43%
雄獅,2731,124.00,128.50,3.63%
寒舍,2739,50.70,52.20,2.96%
雲品,2748,59.50,61.00,2.52%
八方雲集,2753,148.00,158.00,6.76%
世界健身-KY,2762,96.40,90.60,-6.02%
彰銀,2801,17.90,18.00,0.56%
京城銀,2809,51.40,50.30,-2.14%
台中銀,2812,18.65,18.65,0.00%
旺旺保,2816,31.60,33.80,6.96%
華票,2820,14.95,15.15,1.34%
台產,2832,28.90,30.05,3.98%
臺企銀,2834,15.15,15.50,2.31%
高雄銀,2836,11.55,11.55,0.00%
聯邦銀,2838,15.25,15.60,2.30%
遠東銀,2845,13.35,13.75,3.00%
安泰銀,2849,14.35,14.10,-1.74%
新產,2850,104.50,100.00,-4.31%
中再保,2851,26.15,27.20,4.02%
第一保,2852,25.15,27.70,10.14%
統一證,2855,26.30,27.75,5.51%
三商壽,2867,6.27,7.32,16.75%
華南金,2880,26.95,27.50,2.04%
富邦金,2881,91.90,91.70,-0.22%
國泰金,2882,68.80,68.70,-0.15%
凱基金,2883,17.45,18.10,3.72%
玉山金,2884,27.25,29.55,8.44%
元大金,2885,35.45,36.50,2.96%
兆豐金,2886,38.80,39.45,1.68%
台新金,2887,17.75,17.45,-1.69%
新光金,2888,11.95,12.45,4.18%
國票金,2889,14.85,14.35,-3.37%
永豐金,2890,23.05,22.65,-1.74%
中信金,2891,39.40,40.65,3.17%
第一金,2892,27.75,27.50,-0.90%
王道銀行,2897,9.83,9.94,1.12%
欣欣,2901,27.65,27.50,-0.54%
遠百,2903,22.15,24.35,9.93%
匯僑,2904,17.90,18.15,1.40%
三商,2905,15.65,16.00,2.24%
高林,2906,16.95,17.55,3.54%
特力,2908,20.10,20.65,2.74%
統領,2910,23.05,23.90,3.69%
麗嬰房,2911,7.90,8.23,4.18%
統一超,2912,265.50,265.00,-0.19%
農林,2913,19.90,19.65,-1.26%
潤泰全,2915,71.00,69.30,-2.39%
鼎固-KY,2923,25.35,23.75,-6.31%
淘帝-KY,2929,14.05,13.45,-4.27%
永邑-KY,2939,31.95,31.30,-2.03%
三商家購,2945,39.05,41.35,5.89%
歐格,3002,14.20,14.80,4.23%
健和興,3003,77.50,72.80,-6.06%
豐達科,3004,96.60,101.50,5.07%
神基,3005,107.00,125.50,17.29%
晶豪科,3006,62.20,68.40,9.97%
大立光,3008,"2,680.00","2,735.00",2.05%
華立,3010,121.00,116.00,-4.13%
今皓,3011,19.40,18.65,-3.87%
晟銘電,3013,147.00,149.50,1.70%
